,label_name,recommendedDisplayRGBValue,Model,Structure JSON,label_id,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
31,heart_ventricle_right,"[181, 85, 57]",cardiac,"heart_ventricle_right: ""5"",",5,SCT,123037004,Anatomical Structure,SCT,53085002,Right ventricle of heart,,,,,,,,,
32,aorta,"[224, 97, 76]",cardiac,"aorta: ""6"",",6,SCT,123037004,Anatomical Structure,SCT,15825003,Aorta,,,,,,,,,
33,iliac_artery_left,"[217, 162, 48]",cardiac,"iliac_artery_left: ""7"",",7,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,7771000.0,Left,,,,,,
34,iliac_artery_right,"[217, 162, 48]",cardiac,"iliac_artery_right: ""8"",",8,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,SCT,24028007.0,Right,,,,,,
35,iliac_vena_left,"[197, 174, 37]",cardiac,"iliac_vena_left: ""9"",",9,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,7771000.0,Left,,,,,,
36,iliac_vena_right,"[197, 174, 37]",cardiac,"iliac_vena_right: ""10"",",10,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,SCT,24028007.0,Right,,,,,,
37,inferior_vena_cava,"[110, 165, 54]",cardiac,"inferior_vena_cava: ""11"",",11,SCT,123037004,Anatomical Structure,SCT,64131007,Inferior vena cava,,,,,,,,,
38,portal_splenic_vein,,cardiac,"portal_splenic_vein: ""12"",",12,SCT,123037004,Anatomical Structure,SCT,110765007,Portal vein and splenic vein,,,,,,,,,
39,pulmonary_artery,"[0, 122, 171]",cardiac,"pulmonary_artery: ""13""",13,SCT,123037004,Anatomical Structure,SCT,81040000,Pulmonary artery,,,,,,,,,
40,adrenal_gland_left,"[199, 27, 27]",organs,"adrenal_gland_left: ""1"",",1,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,7771000.0,Left,,,,,,
41,adrenal_gland_right,"[199, 27, 27]",organs,"adrenal_gland_right: ""2"",",2,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,24028007.0,Right,,,,,,
42,bladder,,organs,"bladder: ""3"",",3,SCT,123037004,Anatomical Structure,SCT,89837001,Urinary bladder,,,,,,,,,
43,brain,"[250, 250, 225]",organs,"brain: ""4"",",4,SCT,123037004,Anatomical Structure,SCT,12738006,Brain,,,,,,,,,
44,gallbladder,"[139, 150, 98]",organs,"gallbladder: ""5"",",5,SCT,123037004,Anatomical Structure,SCT,28231008,Gallbladder,,,,,,,,,
45,kidney_left,"[212, 126, 151]",organs,"kidney_left: ""6"",",6,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,7771000.0,Left,,,,,,
46,kidney_right,"[212, 126, 151]",organs,"kidney_right: ""7"",",7,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,24028007.0,Right,,,,,,
47,liver,"[221, 130, 101]",organs,"liver: ""8"",",8,SCT,123037004,Anatomical Structure,SCT,10200004,Liver,,,,,,,,,
