,label_name,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator_x,AnatomicRegionModifierSequence.CodeValue_x,AnatomicRegionModifierSequence.CodeMeaning_x,recommendedDisplayRGBValue,recommendedDisplayRGBValue.R,recommendedDisplayRGBValue.G,recommendedDisplayRGBValue.B,label_id,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y
30,vertebrae_L1,SCT,123037004,Anatomical Structure,SCT,66794005,L1 vertebra,,,,,,,,,,"[255, 255, 1]",255.0,255.0,1.0,31,,,,,,
31,vertebrae_T12,SCT,123037004,Anatomical Structure,SCT,23215003,T12 vertebra,,,,,,,,,,"[166, 89, 255]",166.0,89.0,255.0,32,,,,,,
32,vertebrae_T11,SCT,123037004,Anatomical Structure,SCT,12989004,T11 vertebra,,,,,,,,,,"[16, 164, 144]",16.0,164.0,144.0,33,,,,,,
33,vertebrae_T10,SCT,123037004,Anatomical Structure,SCT,7610001,T10 vertebra,,,,,,,,,,"[26, 97, 228]",26.0,97.0,228.0,34,,,,,,
34,vertebrae_T9,SCT,123037004,Anatomical Structure,SCT,82687006,T9 vertebra,,,,,,,,,,"[96, 188, 62]",96.0,188.0,62.0,35,,,,,,
35,vertebrae_T8,SCT,123037004,Anatomical Structure,SCT,11068009,T8 vertebra,,,,,,,,,,"[164, 216, 199]",164.0,216.0,199.0,36,,,,,,
36,vertebrae_T7,SCT,123037004,Anatomical Structure,SCT,62487009,T7 vertebra,,,,,,,,,,"[109, 0, 145]",109.0,0.0,145.0,37,,,,,,
37,vertebrae_T6,SCT,123037004,Anatomical Structure,SCT,45296009,T6 vertebra,,,,,,,,,,"[88, 119, 255]",88.0,119.0,255.0,38,,,,,,
38,vertebrae_T5,SCT,123037004,Anatomical Structure,SCT,56401006,T5 vertebra,,,,,,,,,,"[8, 82, 73]",8.0,82.0,73.0,39,,,,,,
39,vertebrae_T4,SCT,123037004,Anatomical Structure,SCT,73071006,T4 vertebra,,,,,,,,,,"[73, 228, 202]",73.0,228.0,202.0,40,,,,,,
